"word_id","word","part_of_speech","definition","synonyms","letters","count","difficulty"
"2004","aarhus","noun","port city of Denmark in eastern Jutland","arhus","6","503283","0.571389693364018"
"2005","abbess","noun","the superior of a group of nuns","mother superior, prioress","6","964807","0.571354038232162"
"2006","abdominous","adjective","having a large belly","paunchy, potbellied","10","3172","0.666666424780616"
"2007","abelard","noun","French philosopher and theologian; lover of Heloise (1079-1142)","peter abelard, pierre abelard","7","1239633","0.595142330302346"
"2008","abhenry","noun","a unit of inductance equal to one billionth of a henry","","7","2421","0.595237911370704"
"2009","abjection","noun","a low or downcast state","abasement, degradation","9","278423","0.642835636398289"
"2010","ablate","verb","remove an organ or bodily structure","","6","93939","0.571421317319206"
"2011","aborigine","noun","a member of the people living in Australia when Europeans arrived","australian aborigine, native australian","9","262638","0.642836855871721"
"2012","abruption","noun","an instance of sudden interruption","breaking off","9","163085","0.642844546859279"
"2013","absolve","verb","grant remission of a sin to","shrive","7","1417054","0.59512862360638"
"2014","absolved","adjective","freed from any question of guilt","clear, cleared, exculpated, exonerated, vindicated","8","1394056","0.61893992413114"
"2015","absolver","noun","someone who grants absolution","","8","7188","0.619047066904659"
"2016","absorbency","noun","the property of being absorbent","","10","225132","0.666649277215014"
"2017","acheson","noun","United States statesman who promoted the Marshall Plan and helped establish NATO (1893-1971)","dean acheson, dean gooderham acheson","7","2811251","0.595020914629453"
"2018","acanthosis","noun","an abnormal but benign thickening of the prickle-cell layer of the skin (as in psoriasis)","","10","214840","0.666650072325598"
"2019","acceptability","noun","satisfactoriness by virtue of conforming to approved standards","acceptableness","13","4158833","0.737773949761113"
"2020","accessible","adjective","capable of being read with comprehension","approachable","10","31965545","0.664197165059079"
"2021","accessorial","adjective","nonessential but helpful","","11","238485","0.690457769435768"
"2022","acclimatization","noun","adaptation to a new climate (a new temperature or altitude or environment)","acclimation, acclimatisation","15","810977","0.785651636686269"
"2023","accommodate","verb","provide housing for","lodge","11","26163611","0.688454918476999"
"2024","accommodator","noun","someone who performs a service or does a favor","obliger","12","31695","0.714283268849413"
"2025","accompanist","noun","a person who provides musical accompaniment (usually on a piano)","accompanyist","11","679415","0.690423705297632"
"2026","accompanyist","noun","a person who provides musical accompaniment (usually on a piano)","accompanist","12","3091","0.714285478657335"
"2027","accordant","adjective","in keeping","agreeable, concordant, conformable, consonant","9","325534","0.642831996828263"
"2028","accordion","noun","a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player","squeeze box","9","1300976","0.64275663885527"
"2029","accouchement","noun","the parturition process in human beings; having a baby; the process of giving birth to a child","childbearing, childbirth, vaginal birth","12","103297","0.714277737222127"
"2030","accredit","verb","ascribe an achievement to","credit","8","374379","0.619018699488185"
"2031","accrue","verb","come into the possession of","fall","6","8666236","0.570759062745581"
"2032","acculturate","verb","assimilate culturally","","11","74794","0.69047041541775"
"2033","accumbent","adjective","lying down; in a position of comfort or rest","decumbent, recumbent","9","20185","0.642855586628266"
"2034","accusation","noun","a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt","accusal","10","7574268","0.666081518196843"
"2035","acetophenetidin","noun","a white crystalline compound used as an analgesic and also as an antipyretic","acetphenetidin, phenacetin","15","60293","0.785709630933593"
"2036","acetylcholine","noun","a neurotransmitter that is a derivative of choline; released at the ends of nerve fibers in the somatic and parasympathetic nervous systems","","13","3355137","0.737836039461435"
"2037","acidosis","noun","abnormally high acidity (excess hydrogen-ion concentration) of the blood and other body tissues","","8","4203629","0.618722869989271"
"2038","acinus","noun","one of the small drupes making up an aggregate or multiple fruit like a blackberry","","6","149462","0.571417027878383"
"2039","aconite","noun","any of various usually poisonous plants of the genus Aconitum having tuberous roots and palmately lobed leaves and blue or white flowers","","7","869624","0.595170915423992"
"2040","acquirable","adjective","capable of being acquired","","10","31546","0.666664232741391"
"2041","acquiescence","noun","agreement with a statement or proposal to do something","assent","12","5070205","0.713894017719668"
"2042","acquisition","noun","an ability that has been acquired by training","accomplishment, acquirement, attainment, skill","11","83958684","0.683989948186396"
